,0
0,1366.9399
1,1365.95
2,1363.9301
3,1369.05
4,1365.61
5,1362.8199
6,1349.9399
7,1353.28
8,1350.62
9,1349.58
10,1353.22
11,1349.84
12,1333.8101
13,1331.3199
14,1335.8199
15,1339.15
16,1336.5601
17,1336.12
18,1326.35
19,1314.78
20,1318.03
21,1324.89
22,1318.28
23,1321.17
24,1319.85
25,1316.28
26,1318.0
27,1312.74
28,1299.53
29,1298.86
30,1294.02
31,1300.21
32,1313.04
33,1310.9399
34,1303.8
35,1304.25
36,1303.7
37,1301.5699
38,1295.09
39,1295.92
40,1292.97
41,1298.73
42,1297.52
43,1302.3
44,1297.48
45,1295.37
46,1285.27
47,1268.1899
48,1266.67
49,1271.64
50,1265.72
51,1271.13
52,1275.67
53,1279.3101
54,1280.26
55,1278.22
56,1270.73
57,1278.53
58,1278.53
59,1263.15
60,1268.2
61,1268.87
62,1260.91
63,1240.25
64,1249.12
65,1259.8101
66,1236.74
67,1234.48
68,1236.2
69,1242.29
70,1258.58
71,1272.39
72,1267.26
73,1265.46
74,1274.08
75,1270.58
76,1280.05
77,1270.0601
78,1272.86
79,1245.9399
80,1238.99
81,1250.55
82,1244.5
83,1245.59
84,1251.92
85,1240.09
86,1240.12
87,1251.54
88,1256.16
89,1230.01
90,1223.66
91,1236.08
92,1252.27
93,1257.9301
94,1256.08
95,1263.61
96,1265.23
97,1288.16
98,1285.71
99,1270.05
100,1259.38
101,1280.04
102,1272.71
103,1258.41
104,1256.5601
105,1262.0601
106,1267.03
107,1261.8101
108,1270.25
109,1291.73
110,1294.5
111,1291.1899
112,1305.88
113,1322.63
114,1324.5699
115,1324.66
116,1325.76
117,1312.25
118,1307.85
119,1313.21
120,1305.1899
121,1310.61
122,1309.72
123,1305.41
124,1301.74
125,1308.11
126,1311.28
127,1311.46
128,1309.9301
129,1307.65
130,1285.33
131,1289.12
132,1288.12
133,1286.5699
134,1296.6
135,1295.51
136,1309.04
137,1311.5601
138,1305.9301
139,1297.8101
140,1302.88
141,1300.25
142,1302.89
143,1293.23
144,1301.61
145,1302.95
146,1301.67
147,1305.04
148,1297.23
149,1305.08
150,1307.25
151,1305.33
152,1303.02
153,1297.48
154,1284.13
155,1281.58
156,1272.23
157,1278.47
158,1275.88
159,1278.26
160,1287.23
161,1289.14
162,1291.24
163,1280.66
164,1294.12
165,1289.4301
166,1287.79
167,1292.67
168,1283.03
169,1287.24
170,1289.38
171,1280.0
172,1275.53
173,1262.86
174,1266.99
175,1263.8199
176,1265.65
177,1254.78
178,1265.02
179,1264.03
180,1270.84
181,1282.46
182,1280.08
183,1285.2
184,1283.72
185,1273.83
186,1264.6801
187,1266.86
188,1263.8199
189,1261.49
190,1285.04
191,1277.9301
192,1282.9301
193,1287.61
194,1286.0601
195,1294.1801
196,1289.72
197,1290.15
198,1285.45
199,1273.48
200,1273.46
201,1268.8
202,1248.29
203,1254.42
204,1258.17
205,1256.54
206,1268.66
207,1268.12
208,1262.79
209,1259.62
210,1259.92
211,1267.3199
212,1270.9399
213,1272.74
214,1267.4301
215,1260.4301
216,1259.37
