,0
0,1982.5975
1,1990.963
2,1998.7236
3,2004.42
4,2009.3616
5,2013.6888
6,2019.1633
7,2024.4064
8,2029.1274
9,2034.1761
10,2040.0189
11,2046.3058
12,2052.4297
13,2058.033
14,2061.7476
15,2064.646
16,2066.6323
17,2069.6301
18,2073.2048
19,2076.3054
20,2080.2234
21,2083.4001
22,2084.7808
23,2086.4573
24,2086.7083
25,2086.6184
26,2085.7856
27,2086.272
28,2088.539
29,2091.573
30,2094.5598
31,2098.644
32,2103.338
33,2108.0776
34,2111.7468
35,2114.4888
36,2116.543
37,2118.2188
38,2119.4226
39,2118.8691
40,2117.1533
41,2115.6228
42,2112.944
43,2109.3875
44,2105.22
45,2101.7253
46,2099.1328
47,2098.7324
48,2098.2742
49,2097.6543
50,2095.8455
51,2094.978
52,2093.002
53,2090.7012
54,2088.176
55,2086.472
56,2085.2954
57,2086.4646
58,2089.6233
59,2093.5515
60,2098.4539
61,2103.057
62,2107.5264
63,2112.0466
64,2115.9905
65,2120.0498
66,2123.9912
67,2127.789
68,2130.7712
69,2131.8237
70,2130.7268
71,2128.6257
72,2125.2043
73,2122.192
74,2119.2917
75,2117.385
76,2116.4343
77,2116.304
78,2117.4597
79,2113.876
80,2106.6243
81,2100.5134
82,2097.3352
83,2097.7556
84,2099.7422
85,2101.8267
86,2105.1365
87,2109.2786
88,2115.4062
89,2122.6304
90,2131.0085
91,2139.6677
92,2148.4102
93,2156.3176
94,2163.3616
95,2169.5647
96,2175.3162
97,2179.8684
98,2183.994
99,2187.1584
100,2189.6494
101,2191.2834
102,2192.5325
103,2193.7417
104,2194.5635
105,2194.1865
106,2193.7415
107,2193.5793
108,2194.6162
109,2196.028
110,2197.639
111,2198.9114
112,2200.3696
113,2201.9448
114,2203.4744
115,2204.2717
116,2204.965
117,2205.6672
118,2206.111
119,2206.8484
120,2207.4458
121,2207.1064
122,2206.489
123,2205.3643
124,2204.7268
125,2203.8909
126,2202.9006
127,2202.3472
128,2202.3188
129,2202.8198
130,2203.3967
131,2203.0293
132,2198.8054
133,2195.202
134,2190.212
135,2184.7854
136,2180.9888
137,2178.0005
138,2175.8743
139,2174.2905
140,2175.068
141,2177.0957
142,2178.6655
143,2179.128
144,2180.1763
145,2181.8345
146,2182.7808
147,2183.9468
148,2185.006
149,2185.3508
150,2185.5574
151,2186.0583
152,2186.361
153,2186.639
154,2185.16
155,2182.45
156,2179.925
157,2177.0735
158,2174.6738
159,2172.821
160,2171.5164
161,2170.388
162,2170.1355
163,2170.4155
164,2170.0664
165,2170.0217
166,2169.2224
167,2167.977
168,2166.4868
169,2163.5566
170,2159.3862
171,2153.7505
172,2148.975
173,2146.9746
174,2146.582
175,2149.805
176,2154.2559
177,2159.4404
178,2164.8906
179,2170.7874
180,2176.5403
181,2182.4146
182,2187.851
183,2193.7632
184,2199.1787
185,2204.5325
186,2209.6877
187,2213.6616
188,2217.0752
189,2219.5286
190,2220.649
191,2221.6746
192,2222.9287
193,2224.4075
194,2228.0547
195,2233.0247
196,2239.0203
197,2245.4556
198,2252.0413
199,2257.1973
200,2262.2556
201,2266.2283
202,2269.8936
203,2273.3267
204,2275.8125
205,2277.4692
206,2278.9663
207,2280.4744
208,2280.3862
209,2279.7405
210,2278.7617
211,2278.3457
212,2278.635
213,2279.4612
214,2280.6968
215,2281.8005
216,2282.7258
217,2283.6746
218,2284.6572
219,2285.327
220,2285.8079
221,2286.3374
222,2286.6907
223,2286.7866
224,2286.754
225,2288.1125
226,2290.6482
227,2293.6438
228,2295.8154
229,2296.6758
230,2297.6414
231,2297.8396
232,2298.4998
233,2299.646
234,2301.0544
235,2302.0718
236,2303.3655
237,2305.736
238,2309.0684
239,2312.9585
240,2317.538
241,2323.0928
242,2328.2441
243,2333.728
244,2339.3323
245,2345.0085
246,2349.4763
247,2353.7295
248,2357.5122
249,2361.7183
250,2366.7217
251,2370.7563
252,2373.7434
253,2375.6726
254,2376.8318
255,2377.0322
256,2377.3328
257,2377.487
258,2377.352
259,2377.2095
260,2378.2244
261,2379.3777
262,2380.2268
263,2380.982
264,2379.155
265,2376.553
266,2373.8977
267,2369.867
268,2366.2568
269,2364.1255
270,2363.1365
271,2363.085
272,2363.3928
273,2363.4177
274,2364.176
275,2364.3044
276,2364.404
277,2364.48
278,2364.3103
279,2363.9233
280,2362.7576
281,2360.685
282,2358.9875
283,2357.7847
284,2356.6235
285,2356.4397
286,2357.7688
287,2360.4946
288,2364.2598
289,2368.3674
290,2372.6846
291,2376.449
292,2379.8828
293,2382.5557
294,2384.8809
295,2386.9778
296,2389.2808
297,2391.5725
298,2393.367
299,2394.6782
300,2395.4758
301,2396.047
302,2397.1348
303,2396.8706
304,2394.1838
305,2391.689
306,2390.3083
307,2390.1477
308,2390.9053
309,2392.6638
310,2395.1458
311,2397.6545
312,2400.3271
313,2402.878
314,2406.2458
315,2410.124
316,2413.5842
317,2416.6604
318,2419.4565
319,2422.0176
320,2423.5452
321,2425.044
322,2426.9553
323,2427.562
324,2428.0784
325,2429.1594
326,2430.9026
327,2432.074
328,2432.852
329,2433.1848
330,2433.839
331,2434.0662
332,2433.6072
333,2433.7717
334,2433.2415
335,2432.6484
336,2431.9822
337,2430.8323
338,2428.8994
339,2427.4758
340,2426.4885
341,2426.352
342,2427.242
343,2428.8538
344,2431.434
345,2434.059
346,2437.1265
347,2440.9346
348,2444.2542
349,2447.4878
350,2450.7878
351,2453.9778
352,2457.0566
353,2458.9392
354,2460.6155
355,2462.0408
356,2463.4253
357,2464.367
358,2465.096
359,2465.6553
360,2466.1519
361,2465.7087
362,2464.904
363,2462.327
364,2460.0823
365,2458.8828
366,2458.2056
367,2457.5156
368,2454.6108
369,2450.881
370,2447.4473
371,2445.0293
372,2443.4297
373,2442.1753
374,2441.4277
375,2439.978
376,2439.339
377,2440.1387
378,2442.317
379,2444.7676
380,2446.856
381,2448.9624
382,2450.5059
383,2452.5027
384,2455.6265
385,2459.127
386,2462.654
387,2466.0383
388,2469.5564
389,2473.0867
390,2476.3867
391,2479.354
392,2481.284
393,2482.7412
394,2483.8972
395,2484.9226
396,2485.7798
397,2486.9055
398,2488.7627
399,2491.3826
400,2494.3777
401,2497.8464
402,2501.7058
403,2505.7231
404,2509.439
405,2512.8013
406,2515.8762
407,2518.732
408,2521.2334
409,2523.4675
410,2525.7432
411,2527.2148
412,2529.1494
413,2531.712
414,2533.7458
415,2535.3323
416,2536.168
417,2537.238
418,2538.714
419,2540.1265
420,2541.8982
421,2543.434
422,2544.9438
423,2546.6604
424,2548.6106
425,2550.3003
426,2551.4788
427,2552.1008
428,2552.1711
429,2552.0317
430,2551.2302
431,2550.4172
432,2550.2275
433,2550.0657
434,2550.594
435,2552.0723
436,2553.8826
437,2555.9224
438,2558.1501
439,2561.6853
440,2565.8584
441,2570.772
442,2576.42
443,2580.8958
444,2583.7988
445,2585.9016
446,2588.4697
447,2591.273
448,2594.5515
449,2598.1367
450,2601.4922
451,2604.2031
452,2607.995
453,2612.2488
454,2616.1428
455,2619.33
456,2622.0432
457,2623.971
458,2625.5688
459,2627.0684
460,2628.544
461,2629.539
462,2631.1243
463,2634.0664
464,2638.0574
465,2642.945
466,2648.4126
467,2653.4258
468,2658.3894
469,2663.9375
470,2670.9585
471,2677.1624
472,2683.7422
473,2689.8833
474,2695.772
475,2702.57
476,2709.707
477,2716.498
478,2722.7224
479,2729.352
480,2733.5137
481,2736.4614
482,2737.5732
483,2737.3281
484,2732.4473
485,2718.6802
486,2706.6895
487,2694.9111
488,2679.0664
489,2664.9858
490,2652.8164
491,2642.6907
